iter	Logloss
0	0.6199372583
1	0.5569887085
2	0.503049308
3	0.4552008912
4	0.4214759784
5	0.3859501464
6	0.3568974356
7	0.3294892813
8	0.3068248992
9	0.2878290776
10	0.271194899
11	0.2561107878
12	0.2434116553
13	0.2324992533
14	0.2225045117
15	0.2137526073
16	0.2069903629
17	0.2009862523
18	0.195535188
19	0.1904201973
20	0.1862258813
21	0.1820446665
22	0.1787579236
23	0.1753429051
24	0.1723390597
25	0.1709282725
26	0.1684044173
27	0.1659295989
28	0.16427422
29	0.1628148951
30	0.1613071812
31	0.1599340714
32	0.1586242935
33	0.1575390438
34	0.1566472434
35	0.1556492094
36	0.1546871098
37	0.1538374509
38	0.1530414502
39	0.1523052938
40	0.1516167533
41	0.1510292207
42	0.1504040259
43	0.1498880093
44	0.1494055956
45	0.1489010234
46	0.1484415205
47	0.1480633703
48	0.1476590015
49	0.1471818008
50	0.1468556345
51	0.1465174247
52	0.1463107261
53	0.1458920666
54	0.1457435555
55	0.1454107429
56	0.1450038306
57	0.1446833697
58	0.1443907267
59	0.1441979056
60	0.1439751065
61	0.1437093341
62	0.1434190097
63	0.1431961408
64	0.1428994752
65	0.1426706708
66	0.1424890435
67	0.142297368
68	0.1420441835
69	0.1419113501
70	0.1417486821
71	0.1414477248
72	0.1412884081
73	0.1410934184
74	0.1409479242
75	0.1408035037
76	0.140573505
77	0.1404216415
78	0.1402723336
79	0.1401241269
80	0.1399870997
81	0.1398391286
82	0.1396693356
83	0.1394525559
84	0.1392720201
85	0.1391306761
86	0.1389758583
87	0.1388354619
88	0.1386358424
89	0.1384875593
90	0.1382915886
91	0.138170809
92	0.1380174662
93	0.1379124401
94	0.1377848782
95	0.137694655
96	0.1374755089
97	0.137362377
98	0.1372708593
99	0.137177307
100	0.1370393854
101	0.1369819969
102	0.1368893692
103	0.1367271431
104	0.1366263107
105	0.1364951343
106	0.1364068076
107	0.1362883336
108	0.1361523949
109	0.1359699424
110	0.135795114
111	0.1357081469
112	0.1355857095
113	0.135529066
114	0.1354424241
115	0.1353573319
116	0.1352067852
117	0.1351483524
118	0.1350548962
119	0.1349843775
120	0.1348960417
121	0.1347640486
122	0.1346418791
123	0.1345072307
124	0.1343981014
125	0.1342276457
126	0.134139341
127	0.134071295
128	0.1339342723
129	0.1338517339
130	0.1338091339
131	0.1336753388
132	0.1335792258
133	0.1335093976
134	0.1334108686
135	0.1333531038
136	0.1332382729
137	0.1331043696
138	0.133005185
139	0.1328746714
140	0.1327416889
141	0.1326666306
142	0.1325532497
143	0.1324935028
144	0.1323993136
145	0.1322256018
146	0.1321634161
147	0.1320767816
148	0.1319828806
149	0.131866274
150	0.1317837057
151	0.1317120053
152	0.1315994264
153	0.1315101316
154	0.1314453489
155	0.1313315331
156	0.1312753843
157	0.1311775533
158	0.1310697706
159	0.1310185511
160	0.1309335417
161	0.1308157322
162	0.1306838035
163	0.1305730726
164	0.1305319684
165	0.1304406701
166	0.1303609017
167	0.130285085
168	0.1301807633
169	0.1300321026
170	0.1299869559
171	0.1299234743
172	0.1297946798
173	0.1297465029
174	0.1296630256
175	0.1295253951
176	0.1294430923
177	0.129364741
178	0.1292934672
179	0.1292300987
180	0.1291291223
181	0.1290337181
182	0.1288921267
183	0.128839866
184	0.1287542104
185	0.1286358648
186	0.1284658117
187	0.1283774738
188	0.1283146957
189	0.1282560936
190	0.1281755863
191	0.1281080377
192	0.1280520227
193	0.1279909271
194	0.1279198618
195	0.1278410697
196	0.1277526434
197	0.1276624623
198	0.1275313171
199	0.1274614633
200	0.1273784856
201	0.1272822733
202	0.1271972834
203	0.1271485741
204	0.1270777751
205	0.1269760932
206	0.126903978
207	0.1267987708
208	0.1266777974
209	0.1266051863
210	0.1265479774
211	0.1264739444
212	0.1263547762
213	0.1262689369
214	0.1261861076
215	0.1260919956
216	0.1260166371
217	0.1258992078
218	0.1257995216
219	0.1257347912
220	0.1256576832
221	0.1255608745
222	0.1254515019
223	0.1253706864
224	0.1252894022
225	0.1252354032
226	0.1251093721
227	0.1249909114
228	0.1248619157
229	0.1248117573
230	0.1246909877
231	0.1246094286
232	0.1245303913
233	0.1244629438
234	0.1243408011
235	0.1242205043
236	0.1241596392
237	0.1241147935
238	0.1239872816
239	0.1239059187
240	0.1238416334
241	0.1237640722
242	0.1237042699
243	0.1236532514
244	0.1235581596
245	0.1234799122
246	0.1233297507
247	0.1232751277
248	0.1232065706
249	0.123093705
250	0.1230243241
251	0.1229703737
252	0.1228702397
253	0.1227403229
254	0.1226104154
255	0.1225241941
256	0.1224595187
257	0.1223900797
258	0.1223316198
259	0.1222509372
260	0.1221876183
261	0.1220983797
262	0.1220313428
263	0.1219219145
264	0.1218428521
265	0.1217736929
266	0.1217059453
267	0.1216380593
268	0.1215725151
269	0.121504502
270	0.1214597164
271	0.1213647989
272	0.1212975482
273	0.1212222558
274	0.1211571868
275	0.1211018111
276	0.1210334928
277	0.1209652698
278	0.1208713543
279	0.1207100497
280	0.1206209689
281	0.1204794833
282	0.1203648209
283	0.1202699071
284	0.1202088689
285	0.1201368875
286	0.1200624701
287	0.1199950047
288	0.1199282373
289	0.1198658749
290	0.1197813762
291	0.119728464
292	0.1196353089
293	0.119557527
294	0.1194807827
295	0.1194239761
296	0.1193327919
297	0.1192761949
298	0.1192246093
299	0.1191380215
300	0.1190611085
301	0.1190002183
302	0.1188959688
303	0.1188403238
304	0.118724723
305	0.1186304184
306	0.1185857593
307	0.118518597
308	0.1184172037
309	0.1183258106
310	0.1182566682
311	0.1181777409
312	0.1181175524
313	0.118053662
314	0.1179348901
315	0.117852809
316	0.1177687017
317	0.1177147565
318	0.1176507302
319	0.1175774609
320	0.1174955859
321	0.1174148674
322	0.1173633725
323	0.1172962603
324	0.1172463055
325	0.117202004
326	0.1171251976
327	0.1170550485
328	0.1169989832
329	0.1169185618
330	0.1168338058
331	0.1167814623
332	0.1166861094
333	0.1166030285
334	0.1165186614
335	0.1164128248
336	0.1163348777
337	0.1162773164
338	0.1162296901
339	0.1161568504
340	0.1161082302
341	0.1160564434
342	0.1159486992
343	0.1158977806
344	0.115836957
345	0.1157897707
346	0.1157210627
347	0.1156472512
348	0.1156071103
349	0.1155608245
350	0.1154976586
351	0.1154314755
352	0.1153764123
353	0.1152867956
354	0.1152324009
355	0.1151664276
356	0.1151081867
357	0.1150329598
358	0.1149624699
359	0.114887463
360	0.1148488972
361	0.114806412
362	0.1147556162
363	0.1147171282
364	0.1146529093
365	0.1145933438
366	0.1145253718
367	0.1144619847
368	0.1143746434
369	0.1143357397
370	0.1142728513
371	0.114230457
372	0.1141707346
373	0.114123874
374	0.1140238483
375	0.1139527121
376	0.1138867013
377	0.1138429799
378	0.1137961764
379	0.1137170699
380	0.1135814071
381	0.1134868748
382	0.1134463617
383	0.1134019894
384	0.1133435781
385	0.1133198992
386	0.1132638634
387	0.1132246409
388	0.1131614321
389	0.113106114
390	0.1130529306
391	0.1129761436
392	0.112949014
393	0.1129175453
394	0.1128818655
395	0.1128303477
396	0.1127711912
397	0.1127214859
398	0.1126754434
399	0.1126192422
400	0.1125481562
401	0.1124591119
402	0.1123902666
403	0.1123324174
404	0.1122207796
405	0.1121644456
406	0.112110494
407	0.1120495391
408	0.1120162022
409	0.1119855459
410	0.1119567446
411	0.1118960446
412	0.1118066604
413	0.1117350708
414	0.1116832568
415	0.11162677
416	0.1115507723
417	0.1114839157
418	0.1114134215
419	0.1113368681
420	0.111279633
421	0.1112249614
422	0.1111586046
423	0.111091649
424	0.1110259393
425	0.1109611594
426	0.110894571
427	0.1108401589
428	0.1107789428
429	0.1107280233
430	0.1106445967
431	0.1106050592
432	0.1105524711
433	0.110426366
434	0.1103774001
435	0.11031338
436	0.1102453297
437	0.1102037718
438	0.1101494908
439	0.11008967
440	0.1100506884
441	0.1100070076
442	0.109962338
443	0.1099132868
444	0.1098734038
445	0.1098222082
446	0.1097888
447	0.1097218016
448	0.1096545359
449	0.109607049
450	0.1095524479
451	0.1094959841
452	0.1094418784
453	0.1093971453
454	0.1093590449
455	0.1092976309
456	0.1092437308
457	0.1091883821
458	0.1091437647
459	0.1090918038
460	0.108998827
461	0.108916377
462	0.1088511039
463	0.1087949735
464	0.1087499951
465	0.1087019221
466	0.1086640279
467	0.1086200147
468	0.1085740021
469	0.1085031236
470	0.1084323957
471	0.1083467244
472	0.1082751267
473	0.1082363185
474	0.1082022285
475	0.1081618636
476	0.1081175825
477	0.1080816755
478	0.1080508191
479	0.1079969155
480	0.107928053
481	0.1078741017
482	0.1078260529
483	0.1077875623
484	0.1077283778
485	0.1076861431
486	0.1076064693
487	0.1075152397
488	0.1074354544
489	0.1073668661
490	0.1073294657
491	0.107303316
492	0.107261977
493	0.1072161263
494	0.1071958881
495	0.1071284954
496	0.1071002009
497	0.1070827883
498	0.1070626969
499	0.1069847255
500	0.1069231024
501	0.1068277677
502	0.1067731801
503	0.1067276492
504	0.1066714413
505	0.1065641453
506	0.1064997674
507	0.1064327984
