iter	Passed	Remaining
0	155	155048
1	162	81045
2	169	56482
3	177	44108
4	180	36018
5	188	31204
6	195	27730
7	202	25142
8	209	23115
9	216	21424
10	223	20073
11	230	18994
12	237	18049
13	244	17248
14	252	16561
15	259	15960
16	266	15426
17	273	14936
18	280	14508
19	288	14131
20	295	13785
21	302	13468
22	310	13195
23	318	12941
24	325	12685
25	328	12313
26	336	12123
27	343	11917
28	351	11753
29	358	11580
30	365	11419
31	372	11272
32	379	11132
33	387	11003
34	394	10881
35	401	10759
36	409	10653
37	417	10561
38	425	10473
39	432	10386
40	439	10291
41	447	10198
42	454	10113
43	461	10028
44	468	9940
45	475	9856
46	482	9787
47	489	9713
48	496	9642
49	504	9578
50	511	9517
51	519	9467
52	526	9415
53	534	9358
54	542	9313
55	549	9260
56	556	9211
57	564	9160
58	571	9109
59	578	9058
60	585	9012
61	592	8962
62	599	8916
63	606	8867
64	613	8827
65	621	8793
66	628	8752
67	636	8723
68	643	8684
69	650	8647
70	657	8606
71	665	8571
72	672	8534
73	679	8502
74	686	8469
75	693	8434
76	701	8409
77	708	8373
78	716	8348
79	722	8313
80	730	8285
81	737	8252
82	744	8227
83	751	8197
84	759	8173
85	767	8153
86	774	8131
87	782	8110
88	790	8091
89	798	8068
90	805	8047
91	813	8028
92	821	8015
93	829	7996
94	837	7977
95	845	7959
96	853	7942
97	860	7923
98	868	7907
99	876	7889
100	884	7873
101	892	7857
102	900	7840
103	908	7824
104	915	7806
105	923	7787
106	931	7772
107	938	7754
108	947	7741
109	954	7723
110	962	7707
111	970	7693
112	977	7676
113	985	7662
114	994	7650
115	1001	7635
116	1009	7621
117	1017	7605
118	1025	7589
119	1032	7572
120	1040	7559
121	1048	7544
122	1056	7532
123	1064	7521
124	1072	7509
125	1080	7495
126	1087	7478
127	1095	7461
128	1102	7444
129	1109	7427
130	1116	7409
131	1124	7392
132	1130	7372
133	1137	7353
134	1144	7335
135	1152	7321
136	1159	7307
137	1168	7300
138	1176	7290
139	1185	7279
140	1192	7263
141	1199	7250
142	1208	7241
143	1216	7228
144	1224	7219
145	1232	7211
146	1240	7200
147	1248	7188
148	1256	7174
149	1263	7161
150	1271	7150
151	1280	7142
152	1288	7131
153	1296	7119
154	1303	7107
155	1311	7094
156	1319	7083
157	1326	7071
158	1334	7060
159	1342	7047
160	1350	7035
161	1358	7029
162	1367	7020
163	1375	7009
164	1382	6996
165	1390	6986
166	1398	6974
167	1405	6961
168	1413	6950
169	1421	6938
170	1429	6928
171	1436	6917
172	1444	6905
173	1452	6895
174	1460	6885
175	1468	6874
176	1476	6863
177	1483	6851
178	1491	6841
179	1499	6830
180	1507	6820
181	1515	6811
182	1523	6801
183	1530	6789
184	1538	6776
185	1545	6763
186	1552	6750
187	1559	6737
188	1567	6724
189	1573	6709
190	1581	6696
191	1588	6684
192	1595	6672
193	1603	6663
194	1611	6653
195	1619	6642
196	1627	6633
197	1635	6622
198	1643	6614
199	1651	6604
200	1659	6596
201	1667	6585
202	1675	6576
203	1682	6566
204	1690	6557
205	1698	6548
206	1706	6539
207	1715	6530
208	1723	6522
209	1731	6514
210	1740	6508
211	1748	6500
212	1757	6492
213	1766	6486
214	1774	6477
215	1782	6468
216	1790	6459
217	1798	6451
218	1807	6444
219	1814	6434
220	1822	6424
221	1830	6415
222	1838	6404
223	1846	6395
224	1853	6384
225	1861	6374
226	1869	6366
227	1877	6358
228	1885	6349
229	1893	6339
230	1901	6330
231	1909	6321
232	1917	6312
233	1925	6303
234	1933	6295
235	1942	6287
236	1950	6280
237	1958	6270
238	1967	6263
239	1975	6256
240	1984	6248
241	1992	6241
242	2001	6234
243	2009	6225
244	2017	6216
245	2025	6207
246	2033	6199
247	2041	6191
248	2050	6183
249	2058	6176
250	2066	6167
251	2075	6160
252	2084	6153
253	2092	6146
254	2101	6139
255	2109	6131
256	2118	6123
257	2126	6114
258	2134	6108
259	2144	6102
260	2153	6096
261	2161	6089
262	2171	6085
263	2180	6077
264	2188	6069
265	2196	6060
266	2203	6050
267	2211	6039
268	2218	6029
269	2226	6020
270	2235	6014
271	2243	6005
272	2251	5994
273	2258	5985
274	2266	5975
275	2273	5964
276	2281	5953
277	2289	5945
278	2296	5934
279	2304	5925
280	2312	5916
281	2320	5907
282	2327	5896
283	2335	5887
284	2342	5876
285	2349	5866
286	2357	5855
287	2364	5845
288	2371	5834
289	2378	5824
290	2386	5814
291	2393	5803
292	2400	5792
293	2408	5783
294	2415	5772
295	2422	5760
296	2429	5750
297	2436	5740
298	2443	5729
299	2450	5718
300	2458	5708
301	2465	5698
302	2472	5688
303	2480	5678
304	2487	5669
305	2494	5658
306	2502	5648
307	2509	5637
308	2516	5627
309	2523	5617
310	2531	5607
311	2538	5597
312	2545	5587
313	2553	5577
314	2560	5567
315	2567	5557
316	2574	5546
317	2581	5536
318	2588	5526
319	2596	5517
320	2603	5507
321	2611	5498
322	2618	5488
323	2625	5477
324	2632	5468
325	2639	5457
326	2647	5448
327	2654	5438
328	2661	5428
329	2669	5419
330	2676	5409
331	2683	5399
332	2691	5390
333	2699	5382
334	2707	5374
335	2714	5364
336	2722	5356
337	2729	5346
338	2737	5336
339	2744	5327
340	2752	5318
341	2760	5310
342	2768	5303
343	2776	5294
344	2784	5285
345	2791	5277
346	2800	5269
347	2807	5260
348	2815	5251
349	2823	5242
350	2831	5235
351	2839	5227
352	2847	5219
353	2855	5210
354	2863	5203
355	2872	5195
356	2880	5187
357	2888	5179
358	2896	5171
359	2904	5162
360	2911	5154
361	2920	5146
362	2927	5137
363	2935	5128
364	2943	5120
365	2950	5110
366	2957	5101
367	2965	5092
368	2972	5083
369	2979	5073
370	2986	5063
371	2994	5054
372	3001	5045
373	3008	5036
374	3015	5026
375	3023	5016
376	3030	5007
377	3037	4998
378	3044	4989
379	3051	4979
380	3058	4969
381	3065	4959
382	3073	4951
383	3080	4942
384	3088	4932
385	3095	4923
386	3102	4914
387	3109	4905
388	3117	4896
389	3124	4887
390	3131	4878
391	3139	4869
392	3146	4859
393	3153	4850
394	3161	4841
395	3168	4832
396	3175	4823
397	3182	4814
398	3189	4804
399	3197	4795
400	3204	4786
401	3211	4777
402	3219	4768
403	3226	4759
404	3233	4750
405	3241	4741
406	3248	4732
407	3255	4723
408	3262	4714
409	3269	4705
410	3276	4696
411	3284	4687
412	3291	4678
413	3299	4669
414	3306	4660
415	3313	4652
416	3321	4643
417	3328	4634
418	3336	4626
419	3343	4617
420	3350	4608
421	3358	4599
422	3365	4591
423	3373	4582
424	3380	4574
425	3388	4565
426	3395	4557
427	3403	4548
428	3410	4539
429	3418	4531
430	3425	4522
431	3432	4513
432	3439	4504
433	3447	4495
434	3454	4486
435	3461	4478
436	3469	4469
437	3476	4460
438	3484	4452
439	3491	4443
440	3498	4434
441	3505	4426
442	3513	4417
443	3520	4408
444	3527	4399
445	3534	4390
446	3542	4382
447	3549	4373
448	3556	4364
449	3563	4355
450	3570	4346
451	3578	4338
452	3585	4329
453	3592	4320
454	3600	4312
455	3607	4303
456	3615	4295
457	3622	4287
458	3629	4278
459	3637	4269
